Name New_Price Preowned_Price Download_Price Other_Price Console Genre
"Marvel's Spider-Man - The Only on PlayStation Collection - GAM..." 29.99 24.99 24.99 39.88 "PlayStation 4" Action/Adventure
"Death Stranding" 49.99 39.99 39.99 41.9 "PlayStation 4" Action/Adventure
"Star Wars Jedi: Fallen Order" 49.99 42.99 42.99 42.85 "PlayStation 4" Action/Adventure
"Star Wars Jedi: Fallen Order" 49.99 0.0 0.0 41.85 "Xbox One" Action/Adventure
"Pokemon Sword or Shield Expansion Pass" 0.0 29.99 29.99 0.0 Switch Action/Adventure
"Spyro Reignited Trilogy" 36.36 0.0 0.0 42.88 Switch Action/Adventure
"Crash Bandicoot N.Sane Trilogy" 44.99 0.0 0.0 45.88 Switch Action/Adventure
"Marvel’s Spider-Man Game Of The Year Edition" 39.99 0.0 0.0 46.99 "PlayStation 4" Action/Adventure
"Spyro Reignited Trilogy" 22.99 22.99 22.99 21.95 "Xbox One" Action/Adventure
"LEGO Jurassic World" 32.99 0.0 0.0 24.98 Switch Action/Adventure
"Dragon Ball Z: Kakarot" 44.99 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Dragon Ball Z: Kakarot" 44.99 0.0 0.0 49.95 "Xbox One" Action/Adventure
"Dragon Ball Z: Kakarot" 0.0 49.99 49.99 0.0 PC Action/Adventure
"Luigi's Mansion 3" 44.99 42.99 42.99 54.95 Switch Action/Adventure
"Xbox One X with Star Wars Jedi: Fallen Order Bundle" 364.95 0.0 0.0 0.0 "Xbox One" Action/Adventure
"Dragon Ball Z: Kakarot Ultimate Edition" 0.0 74.99 74.99 0.0 PC Action/Adventure
"Dragon Ball Z: Kakarot Deluxe Edition" 0.0 64.99 64.99 0.0 PC Action/Adventure
"Crash Bandicoot N. Sane Trilogy" 22.99 22.99 22.99 28.99 "PlayStation 4" Action/Adventure
"Star Wars Jedi: Fallen Order Deluxe Edition" 72.2 0.0 0.0 0.0 "PlayStation 4" Action/Adventure
"Crash Bandicoot N.Sane Trilogy" 22.99 0.0 0.0 39.88 "Xbox One" Action/Adventure
"Star Wars Jedi: Fallen Order Deluxe Edition" 74.86 0.0 0.0 0.0 "Xbox One" Action/Adventure
"Disney Classic Games: Aladdin and The Lion King" 29.99 0.0 0.0 29.0 Switch Action/Adventure
"Disney Classic Games: Aladdin and The Lion King" 29.99 0.0 0.0 23.65 "PlayStation 4" Action/Adventure
"Disney Classic Games: Aladdin and The Lion King" 29.99 0.0 0.0 31.89 "Xbox One" Action/Adventure
"Red Dead Redemption 2" 59.99 0.0 0.0 0.0 PC Action/Adventure
"The Elder Scrolls Online Tamriel Unlimited 3000 Crowns" 0.0 14.99 14.99 0.0 "Xbox Live" Action/Adventure
"Tom Clancy's Rainbow Six: Siege 1200 Credits Pack" 0.0 7.99 7.99 0.0 "Xbox One" Action/Adventure
"God of War - The Only on PlayStation Collection - GAME Exclusive" 15.99 14.99 14.99 15.95 "PlayStation 4" Action/Adventure
Prey 0.0 4.99 4.99 8.99 "PlayStation 4" Action/Adventure
"Jumanji: The Video Game" 29.99 0.0 0.0 34.85 "PlayStation 4" Action/Adventure
"Killzone Shadow Fall" 6.0 0.0 0.0 2.99 "PlayStation 4" Action/Adventure
"Mafia III" 8.89 0.0 0.0 6.62 "Xbox One" Action/Adventure
"Tom Clancy's The Division" 0.0 4.99 4.99 4.05 "PlayStation 4" Action/Adventure
